time,100.0,12.0
2025-01-01 00:00:00,50.0,135.0
2025-01-01 01:00:00,51.237,134.701
2025-01-01 02:00:00,52.397,133.816
2025-01-01 03:00:00,53.408,132.38
2025-01-01 04:00:00,54.207,130.451
2025-01-01 05:00:00,54.745,128.105
2025-01-01 06:00:00,54.987,125.435
2025-01-01 07:00:00,54.92,122.55
2025-01-01 08:00:00,54.546,119.562
2025-01-01 09:00:00,53.89,116.592
2025-01-01 10:00:00,52.992,113.758
2025-01-01 11:00:00,51.908,111.172
2025-01-01 12:00:00,50.706,108.939
2025-01-01 13:00:00,49.459,107.147
2025-01-01 14:00:00,,
2025-01-01 15:00:00,,
2025-01-01 16:00:00,,
2025-01-01 17:00:00,,
2025-01-01 18:00:00,45.112,106.549
2025-01-01 19:00:00,45.004,108.135
2025-01-01 20:00:00,45.205,110.195
2025-01-01 21:00:00,45.705,112.646
2025-01-01 22:00:00,46.472,115.39
2025-01-01 23:00:00,47.459,118.318
